genres,release_year,popularity,budget,runtime,vote_count,vote_average,revenue
Action|Adventure|Science Fiction|Thriller,2015,32.985763,150000000,124,5562,6.5,1513528810
Action|Adventure|Science Fiction|Thriller,2015,28.419936,150000000,120,6185,7.1,378436354
Adventure|Science Fiction|Thriller,2015,13.112507,110000000,119,2480,6.3,295238201
Action|Adventure|Science Fiction|Fantasy,2015,11.173104,200000000,136,5292,7.5,2068178225
Action|Crime|Thriller,2015,9.335014,190000000,137,2947,7.3,1506249360
Western|Drama|Adventure|Thriller,2015,9.1107,135000000,156,3929,7.2,532950503
Science Fiction|Action|Thriller|Adventure,2015,8.654359,155000000,125,2598,5.8,440603537
Drama|Adventure|Science Fiction,2015,7.6674,108000000,141,4572,7.6,595380321
Family|Animation|Adventure|Comedy,2015,7.404165,74000000,91,2893,6.5,1156730962
Comedy|Animation|Family,2015,6.326804,175000000,94,3935,8,853708609
Action|Adventure|Crime,2015,6.200282,245000000,148,3254,6.2,880674609
Science Fiction|Fantasy|Action|Adventure,2015,6.189369,176000003,124,1937,5.2,183987723
Drama|Science Fiction,2015,6.118847,15000000,108,2854,7.6,36869414
Action|Comedy|Science Fiction,2015,5.984995,88000000,105,1575,5.8,243637091
Action|Adventure|Science Fiction,2015,5.944927,280000000,141,4304,7.4,1405035767
Crime|Drama|Mystery|Western,2015,5.8984,44000000,167,2389,7.4,155760117
Crime|Action|Thriller,2015,5.749758,48000000,109,1578,6.1,325771424
Science Fiction|Action|Adventure,2015,5.573184,130000000,115,3779,7,518602163
Romance|Fantasy|Family|Drama,2015,5.556818,95000000,112,1495,6.8,542351353
War|Adventure|Science Fiction,2015,5.476958,160000000,136,2380,6.5,650523427
Action|Family|Science Fiction|Adventure|Mystery,2015,5.462138,190000000,130,1899,6.2,209035668
Action|Drama,2015,5.337064,30000000,123,1386,7.3,91709827
Action|Drama|Thriller,2015,4.907832,110000000,114,2060,6.1,470490832
Drama|Romance,2015,4.710402,40000000,125,1865,5.3,569651467
Comedy|Drama,2015,4.648046,28000000,130,1545,7.3,133346506
Action,2015,4.566713,150000000,131,2349,7.1,682330139
Comedy,2015,4.564549,68000000,115,1666,6.3,215863606
Crime|Comedy|Action|Adventure,2015,4.503789,81000000,130,3833,7.6,403802136
Drama|Thriller|History,2015,4.062293,20000000,128,1559,7.8,88346473
Action|Science Fiction|Thriller,2015,3.968891,61000000,132,1849,6.4,311256926
Mystery|Drama,2015,3.927333,0,103,425,6.4,29355203
Crime|Action|Science Fiction,2015,3.899557,49000000,120,1990,6.6,102069268
Comedy|Music,2015,3.877764,29000000,115,1264,6.8,287506194
Thriller|Drama,2015,3.64821,40000000,141,1638,7.1,162610473
Adventure|Horror|Comedy,2015,3.644541,58000000,103,600,6.2,150170815
Drama|Thriller,2015,3.557846,6000000,117,1520,8,35401758
Crime|Drama|Mystery,2015,3.358321,0,101,474,6.2,22354572
Adventure|Animation|Comedy|Family|Fantasy,2015,3.339135,175000000,93,1087,6.6,331926147
Action|Crime|Drama|Mystery|Thriller,2015,3.23737,50000000,114,814,6.3,71561644
Drama|Romance,2015,3.227329,11000000,111,754,7.3,62076141
Drama|Music,2015,3.202719,28000000,147,918,7.7,201634991
Fantasy|Action|Adventure,2015,3.080505,90000000,106,879,5.6,140396650
History|Drama,2015,3.079522,30000000,122,1035,6.9,34441873
Comedy|Action|Adventure,2015,3.053421,75000000,116,1548,7,108145109
Fantasy|Drama|Romance,2015,3.025852,25000000,112,1221,7.3,42629776
Action|Adventure|Science Fiction,2015,3.023253,10000000,97,396,5.9,14333790
Fantasy|Comedy|Animation|Science Fiction|Family,2015,2.976436,135000000,94,1060,6.9,368871007
Drama|Mystery|Romance,2015,2.968254,12000000,109,1252,6.2,85512300
Thriller|Crime|Drama,2015,2.93234,30000000,92,481,5.3,0
Thriller|Comedy|Drama|Romance|Science Fiction,2015,2.885126,4000000,118,638,6.6,9064511
Romance|Drama,2015,2.883233,11800000,118,562,7.1,40272135
Comedy,2015,2.814802,35000000,121,1255,7.1,194564672
Adventure|Drama,2015,2.798017,55000000,121,1172,6.7,203427584
Comedy|Drama,2015,2.793297,60000000,124,1001,6.4,101134059
Action|Crime|Thriller,2015,2.614499,105000000,114,505,5.5,133718711
Drama,2015,2.584264,20000000,100,631,6.3,36606743
Science Fiction|Mystery|Thriller,2015,2.578919,26000000,116,719,6.2,30523226
Comedy|Adventure,2015,2.575711,60000000,106,696,5.3,30418560
Drama,2015,2.557859,15000000,120,867,7.3,64191523
Mystery|Crime|Action|Thriller|Drama,2015,2.550747,70000000,133,584,5,17752940
Action|Crime|Drama|Mystery|Thriller,2015,2.487849,30000000,121,1479,7.1,84025816
Action|Adventure|Science Fiction,2015,2.487042,120000001,100,1565,4.4,167977596
Mystery|Horror,2015,2.46449,3500000,92,700,5.8,40423945
Action|Comedy|Crime,2015,2.404473,65000000,120,1840,6.9,235666219
Romance|Comedy|Crime|Drama,2015,2.395366,50100000,105,1831,6.7,153962963
Action|Crime|Thriller,2015,2.354654,35000000,96,820,5.5,82347656
Thriller|Drama|Adventure|Action|History,2015,2.345821,100000000,122,805,6.4,93820758
Crime|Thriller|Action,2015,2.331636,20000000,96,280,5.4,0
Drama,2015,2.331567,35000000,133,1171,7.3,137935567
Comedy,2015,2.31767,35000000,125,849,6.1,140795793
Drama|Thriller|War,2015,2.29573,13000000,102,265,7.2,32848185
Crime|Thriller,2015,2.28135,25000000,131,619,6.7,42972994
Thriller,2015,2.272044,0,95,81,5.5,45895
Adventure|Family|Fantasy,2015,2.234573,150000000,111,586,5.9,128388320
Action|Adventure|Fantasy,2015,2.165433,0,108,27,5.1,0
Comedy|Drama,2015,2.141506,0,105,569,7.7,0
Adventure|Animation|Comedy|Family,2015,2.140199,99000000,88,414,6.4,246233113
Drama,2015,2.121884,35000000,123,500,6.9,48623572
Comedy,2015,2.096273,25000000,100,363,6.1,52395996
Drama|Horror|Thriller,2015,2.080935,2500000,99,473,4.8,5214043
Romance|Drama,2015,2.070708,34000000,128,711,7.3,63013281
Animation|Comedy|Family,2015,2.060162,80000000,89,919,6.8,466183544
Family|Comedy,2015,2.055572,17000000,107,111,5.3,24000000
Adventure|Drama|Thriller,2015,2.049886,35000000,123,706,6.8,61181942
Action|Crime|Drama,2015,2.026651,11000000,94,326,5.9,1863315
Adventure|Comedy,2015,2.000338,31000000,99,846,6.1,104384188
Horror|Thriller,2015,1.984529,35000000,93,589,5,95437994
Horror,2015,1.980039,4000000,95,384,5.1,187112
Drama|Romance|Science Fiction,2015,1.959765,0,101,135,5.6,2000000
Crime|Thriller,2015,1.95632,50000000,137,341,5.9,3324330
Thriller|Mystery,2015,1.926739,5000000,108,631,6.6,58978653
Comedy,2015,1.904898,50000000,96,568,5.7,240360392
Fantasy|Action|Adventure,2015,1.876037,0,0,11,5.4,0
Thriller|Science Fiction|Action|Adventure,2015,1.872696,10000000,96,181,4.1,0
Adventure|Animation|Fantasy,2015,1.865007,64000000,92,423,7.5,97571250
Adventure|Animation|Comedy|Family,2015,1.841779,0,92,278,5.7,233755553
Drama,2015,1.82313,11930000,118,197,6.9,18340000
Romance|Comedy,2015,1.758618,8500000,100,753,6.8,43528634
Horror,2015,1.742286,10000000,97,331,5.5,52882018
Action|Adventure|Comedy|Family,2015,1.73518,30000000,94,422,5.3,107597242
Adventure|Animation|Family,2015,1.724712,0,8,475,7,0
Action|Drama|Science Fiction,2015,1.661789,0,119,161,5.4,0
Thriller,2015,1.651078,4000000,91,810,3.9,50163103
Thriller|Action,2015,1.646664,0,104,114,5.6,0
Comedy,2015,1.532997,30000000,104,364,6.2,49263404
Comedy,2015,1.510096,23000000,101,446,6.5,79799880
Comedy|Horror,2015,1.499614,15000000,93,288,6.2,14860766
Horror|Thriller,2015,1.495112,5000000,94,729,5.9,98450062
Crime|Drama,2015,1.483246,53000000,122,848,6.3,99775678
Crime|Action|Thriller,2015,1.449072,8900000,93,233,5.4,50136
Horror|Comedy|Fantasy,2015,1.448002,15000000,98,342,5.9,61548707
Drama|Mystery|Thriller,2015,1.443406,20000000,113,322,5.7,208588
Action|Thriller,2015,1.41239,5000000,103,519,6.7,54418872
Crime|Drama|Comedy,2015,1.40805,700000,103,448,7.3,17986781
Comedy|Action,2015,1.388251,28000000,96,695,5.9,28208085
Drama,2015,1.388032,11000000,120,277,7.3,61619773
Action|Fantasy|Adventure,2015,1.38032,0,105,22,4.5,0
Comedy,2015,1.376605,30000000,118,399,5.9,105011053
Science Fiction|Thriller,2015,1.360926,12000000,106,637,6.3,32248241
Comedy|Science Fiction,2015,1.360827,0,85,199,5.8,5189646
Thriller|Action|Crime,2015,1.355822,25000000,96,407,5.3,72629670
Mystery|Thriller|Fantasy|Horror|Drama,2015,1.345982,55000000,119,819,6.4,74679822
Thriller|Action,2015,1.342839,0,90,169,5.1,0
Comedy|Drama|Music,2015,1.338481,14800000,115,501,6.3,122413057
Horror|Thriller,2015,1.338322,10000000,88,267,5,78099553
Romance|Thriller|Western,2015,1.329702,0,84,229,6.6,229094
Drama,2015,1.316239,15000000,124,273,7.2,8235661
Crime|Drama|Mystery,2015,1.315266,19500000,111,202,6.2,32189727
Comedy,2015,1.29314,0,84,132,6.4,2500431
Family|Animation,2015,1.291013,74000000,93,533,5.7,311594032
Crime|Drama|Mystery,2015,1.284541,0,100,354,6,4719695
Adventure|Drama|Family,2015,1.278928,20000000,111,214,7,43967255
Family|Animation|Comedy|Adventure,2015,1.25358,0,85,340,6.9,59700000
Drama,2015,1.251681,11000000,109,43,6.3,0
Comedy|Drama,2015,1.245224,0,106,102,6.3,1702433
Action|Drama|Crime,2015,1.225325,40000000,115,283,5.6,10664749
Horror|Thriller,2015,1.191138,1000000,82,643,5.6,62882090
Action|Crime|Comedy,2015,1.178831,35000000,87,472,5.5,51680201
Drama|Horror|Thriller,2015,1.164724,10000000,97,610,6.3,104303851
Drama|Science Fiction|Thriller,2015,1.161812,0,97,181,5.5,118483
Action|Adventure|Fantasy,2015,1.144808,0,97,59,4.5,0
Comedy|Drama,2015,1.142518,6000000,104,135,5.9,41387687
Drama|Science Fiction|Thriller,2015,1.138395,40000000,109,408,5.5,34227298
Adventure|Drama|Family,2015,1.128081,0,98,11,7.5,0
Animation|Comedy|Drama|Romance,2015,1.125239,8000000,90,259,6.7,3759286
Horror|Western|Adventure|Drama,2015,1.073349,1800000,132,220,6.3,0
Horror|Mystery|Thriller,2015,1.065888,0,106,310,5.2,17671101
Drama,2015,1.063055,0,114,148,6.6,0
Drama,2015,1.046518,0,108,104,7.1,11472454
Thriller|Action,2015,1.041922,20000000,96,100,5.8,0
Drama|Romance,2015,1.03839,2000000,102,186,6.8,1477002
Horror|Thriller,2015,1.036825,0,94,114,5.3,0
Horror|Thriller|Comedy|Crime,2015,1.02762,0,101,371,6,0
Action|Adventure,2015,1.021441,0,115,237,6.3,3643591
Romance|Fantasy|Horror,2015,1.008474,12000000,125,211,5.7,0
Mystery|Drama,2015,1.007054,11000000,95,319,6.1,27391084
Drama|History,2015,0.973316,15000000,128,30,6,0
Comedy|Drama|Music,2015,0.956096,18000000,100,152,5.5,41325328
Comedy|Drama|Romance,2015,0.953647,0,112,139,7.2,0
Action|Comedy|Science Fiction|Fantasy,2015,0.953046,630019,31,487,7.7,0
Drama|Thriller,2015,0.950793,12000000,100,122,5.6,60273173
Crime|Drama|Mystery|Thriller,2015,0.938432,0,120,69,5.8,1936524
Drama|Comedy,2015,0.93762,10000000,97,265,5.9,7587485
Comedy,2015,0.927339,40000000,100,661,5.9,106511453
Drama|Action|Crime|Thriller,2015,0.91704,0,95,131,5.8,0
Comedy|Western,2015,0.913085,60000000,119,252,4.8,0
Comedy|Thriller,2015,0.90686,0,90,96,5.1,0
History|Drama,2015,0.906036,25000000,120,262,5.8,24902723
Drama|History,2015,0.898296,14000000,106,231,7.1,16002420
Drama,2015,0.894477,0,95,167,6,0
Drama|Music|Romance,2015,0.880938,6000000,96,412,6.2,11122090
Adventure|Action|Comedy,2015,0.880268,0,96,215,5.5,6075
History|Drama|War,2015,0.874641,0,113,269,6.4,13192457
Action|Thriller,2015,0.872149,0,83,57,4.2,16775
Comedy|Drama,2015,0.861179,0,94,92,5.2,0
Music|Action|Adventure|Comedy|Family,2015,0.848748,0,112,262,6.7,0
Music|Romance|Comedy,2015,0.843174,0,105,22,6.6,0
Romance|Drama,2015,0.842202,0,119,220,6.9,30229977
Drama,2015,0.836941,0,106,126,7.3,3002884
Drama|Comedy,2015,0.832487,10000000,122,196,6.4,85978266
Comedy|Drama|War,2015,0.829111,20000000,106,113,7.1,6420319
Action|Adventure|Animation|Family,2015,0.821443,0,48,14,6.4,0
Drama|Thriller,2015,0.820691,0,94,75,7.7,1986615
Adventure|Comedy|Romance,2015,0.814206,37000000,105,469,5.2,26250020
Romance|Comedy,2015,0.813893,26000000,100,64,3.6,0
Action|Animation|Science Fiction,2015,0.810667,0,67,32,5.3,0
Drama|Comedy,2015,0.795762,28000000,108,122,5.7,7002261
Drama|Science Fiction,2015,0.792471,0,101,57,5.1,0
Thriller,2015,0.787969,0,100,192,6.4,231737
Drama,2015,0.781809,0,90,55,4.5,0
Animation|Comedy|Family|Adventure,2015,0.773909,0,85,33,5.6,0
Thriller,2015,0.77107,0,86,174,5.5,134552
Thriller,2015,0.768138,0,93,17,4.3,0
Comedy,2015,0.758133,0,100,197,6.2,3214116
Western|Drama,2015,0.747541,11000000,90,53,5.6,0
Documentary|Music,2015,0.738404,0,128,345,7.5,8413144
Drama,2015,0.7299,0,118,52,5.3,0
Fantasy|Horror,2015,0.719407,0,97,122,4.9,0
Family|Animation,2015,0.714131,0,74,13,5.5,0
Horror,2015,0.707355,0,89,62,4.9,0
Romance|Drama,2015,0.706023,7000000,103,86,7.1,573335
Romance|Comedy,2015,0.70137,0,88,264,6.5,0
Drama|Romance,2015,0.699932,3000000,134,307,4.7,695269
Drama,2015,0.69957,9600000,121,89,6.4,2541554
Thriller,2015,0.696184,0,95,88,5,0
Comedy|Drama|Music,2015,0.690479,10000000,107,114,6.6,10835752
Comedy|Music|War,2015,0.689579,15000000,100,56,5.1,3020664
Drama,2015,0.689571,2240000,116,142,7,0
Comedy|Drama|Romance,2015,0.673792,1000000,95,87,6.6,14444999
Thriller|Horror,2015,0.669351,13000000,91,164,4.5,1784763
Drama,2015,0.661471,8000000,112,121,6.8,1411927
Comedy,2015,0.661163,14000000,93,244,5,12314651
Romance|Drama,2015,0.654335,0,118,101,5.7,0
Drama,2015,0.654046,4000000,97,35,5,143101
Drama,2015,0.649628,0,108,74,5.7,0
Mystery|Science Fiction|Thriller,2015,0.644786,0,91,98,4.2,0
Animation|Comedy|Family|Fantasy|Music,2015,0.640151,0,7,298,7.3,0
Thriller|Science Fiction,2015,0.638557,0,94,135,4.7,0
Action,2015,0.633608,0,88,11,5,0
Drama|Thriller,2015,0.629561,0,110,14,5.9,0
Drama,2015,0.607124,0,118,44,5.1,8034
Drama|Horror|Science Fiction,2015,0.606113,0,110,135,5.3,0
Mystery|Drama|Horror,2015,0.604928,0,116,25,3.6,0
Drama|Adventure|Comedy,2015,0.602165,8000000,104,171,5.4,35991087
Horror,2015,0.599751,0,100,182,5.2,0
Thriller|Horror,2015,0.599655,3300000,83,327,4.9,64110728
Action|Adventure|Animation,2015,0.589472,0,72,142,6.8,0
Thriller,2015,0.586735,8000000,91,57,5.4,0
Adventure|Documentary,2015,0.584363,0,90,36,7.8,0
Comedy,2015,0.577814,35000000,90,241,4.9,14431253
Fantasy|Thriller,2015,0.570744,2000000,95,129,5.7,45431
Music|Documentary,2015,0.569443,0,132,197,7.5,0
War|Drama,2015,0.561032,0,120,29,5.7,0
Thriller|Crime|Drama,2015,0.560744,7000000,94,67,5.9,0
Drama,2015,0.560423,12000000,112,75,5.9,0
Drama,2015,0.553238,0,128,139,7.4,45710059
Horror|Mystery,2015,0.548587,0,90,52,5.4,0
Drama,2015,0.547827,0,111,133,6,0
Drama|Comedy,2015,0.546458,3000000,98,136,4.9,0
Animation|Adventure|Comedy,2015,0.542568,6000000,85,50,5.7,0
Thriller|Horror,2015,0.5327,0,90,10,4.1,0
Documentary,2015,0.532239,0,84,158,5.9,0
Horror|Thriller,2015,0.532205,100000,87,247,5,42664410
Drama|Comedy,2015,0.52985,0,93,12,4.8,0
Horror|Thriller,2015,0.527957,0,91,100,5,0
History|Drama,2015,0.526642,0,97,94,6.9,0
Drama|Romance,2015,0.524315,10000000,122,82,5.4,3334927
